"221Addie_GranddadandPops" "221Addie_TheSlap" "AMAZINGmadness_Alike" "AMAZINGmadness_ItMayBeRage" "AmbiguousMorals_CapturedInaPrecariousSituation" "AmbiguousMorals_TwoYearsLater" "EventHorizon_InFineSpirits" "EventHorizon_NotQuiteaCountryHoliday" "Lizard501_TheCollegeDays" "Lizard501_TheForger" "okapi_Bees&OtherStories" "okapi_Cheers" "okapi_FromthePenofInkyQuill"
"are" 0.296830276688222 0.212977424393014 0.119138036307317 0 0.113590263691684 0.116642209429206 0.313782105581049 0.344114226993699 0.198807157057654 0.289855072463768 0.271062003913989 0.245726046960978 0.276887522619748
"up" 0.530054065514682 0.504046571063467 0.327629599845121 0 0.421906693711968 0.534296572224104 0.148788697951577 0.170366965034209 0.704345356432832 0.618357487922705 0.168957930690783 0.370339255961132 0.119911919244773
"out" 0.519452984204389 0.390458611387193 0.236786847160792 0 0.356997971602434 0.383790495541257 0.228339090915787 0.208226290597366 0.408974723090031 0.541062801932367 0.178682128140612 0.242925750129514 0.165696470229141
"about" 0.201420544895579 0.333664631549056 0.274017483506828 0 0.0567951318458418 0.184369943936486 0.30494317302947 0.266367397712215 0.3692132916785 0.251207729468599 0.182328702184298 0.181319219837303 0.170056903656223
"said" 0.0530054065514683 0.0922902172369729 0.0312737345306706 0 0.186612576064909 0.252097678443767 0.0920722140789464 0.0831553043619351 0.301050837830162 0.173913043478261 0.371950552455968 0.506853726495008 0.446944426275972
"were" 0.339234601929397 0.319466136589521 0.215937690807011 0 0.438133874239351 0.32735071678519 0.191510205284209 0.244057438005354 0.215847770519739 0.21256038647343 0.241889411564502 0.219123227062069 0.270346872479124
"can" 0.487649740273508 0.29816839415022 0.0848858508689631 0 0.0243407707910751 0.0827783421755653 0.339562325523154 0.34952270207415 0.164725930133485 0.0579710144927536 0.133707714935152 0.194620629786757 0.191859070791637
"just" 0.212021626205873 0.34786312650859 0.382730941637254 0 0.527383367139959 0.349926628287617 0.197402826985261 0.165634549338814 0.272649815393354 0.173913043478261 0.170173455372011 0.261827753741897 0.183138203937471
"more" 0.127212975723524 0.141984949595343 0.351457207106584 0 0.251521298174442 0.214471159273056 0.293894507339997 0.216339003218043 0.25560920193127 0.309178743961353 0.213932343896243 0.163817364640652 0.159155820088517
"could" 0.243824870136754 0.191679681953713 0.384220167091096 0 0.381338742393509 0.353689280204688 0.221709891502103 0.324508504827064 0.1476853166714 0.135265700483092 0.131276665572694 0.105011131179905 0.122092135958314
"d" 0.0106010813102937 0.00709924747976714 0.0729720472382314 1.12802540795094 0.0324543610547667 0.0188132595853558 0.26737770968526 0.227155953378945 0.113604089747231 0.0966183574879227 0.226087590708529 0.237325156466585 0.102470185536442
"by" 0.0954097317926429 0.184580434473946 0.24572219988384 0 0.137931034482759 0.154268728599917 0.210661225812629 0.198761459206577 0.193126952570293 0.251207729468599 0.286863824769962 0.179218997213705 0.324852290317658
"holmes" 0.0848086504823492 0.0567939798381372 0.0461659890690852 0.0328551089694447 0.0162271805273834 0.0413891710877827 0.0662919941368414 0.0818031855918224 0 0 1.10126536119316 0.0938099438540485 0.407700525432228
"into" 0.222622707516167 0.276870651710919 0.205513112630121 0 0.381338742393509 0.278436241863265 0.18267127273263 0.167662727493983 0.187446748082931 0.231884057971014 0.194483948996584 0.233824785427255 0.187498637364554
"back" 0.190819463585286 0.283969899190686 0.324651148937438 0 0.251521298174442 0.206945855438913 0.11269639003263 0.140620352091728 0.568020448736155 0.502415458937198 0.125199042166551 0.282129905770012 0.104650402249984
"m" 0.381638927170571 0.461451086184864 0.0819073999612801 0.0492826634541671 0.0730223123732252 0.0714903864243519 0.176778651031577 0.159550014873306 0.215847770519739 0.0579710144927536 0.147078486428667 0.353537474972347 0.119911919244773
"well" 0.169617300964698 0.0709924747976714 0.108713458130426 0 0.162271805273834 0.214471159273056 0.209188070387366 0.202817815516915 0.170406134620846 0.115942028985507 0.246751510289416 0.186919813500231 0.2638062223385
"know" 0.222622707516167 0.390458611387193 0.15339022174567 0 0.227180527383367 0.105354253677992 0.228339090915787 0.206874171827253 0.124964498721954 0.173913043478261 0.17138898005324 0.192520407163159 0.146074519807269
"their" 0.508851902894095 0.19877892943348 0.238276072614633 0 0.178498985801217 0.191895247770629 0.203295448686314 0.256902566321426 0.2215279750071 0.251207729468599 0.111828270673036 0.121112837960824 0.170056903656223
"time" 0.254425951447048 0.227175919352549 0.221894592622377 0 0.235294117647059 0.210708507355985 0.220973313789471 0.208226290597366 0.1476853166714 0.154589371980676 0.151940585153582 0.144915361028269 0.154795386661434
"them" 0.381638927170571 0.191679681953713 0.233808396253109 0 0.202839756592292 0.199420551604771 0.160573941353683 0.218367181373212 0.249928997443908 0.444444444444444 0.136138764297609 0.175718626174374 0.109010835677066
"who" 0.286229195377929 0.191679681953713 0.212959239899328 0 0.0486815415821501 0.0978289498438499 0.252646155432629 0.224451715838719 0.170406134620846 0.173913043478261 0.147078486428667 0.0938099438540485 0.183138203937471
"now" 0.106010813102937 0.177481186994179 0.156368672653353 0 0.243407707910751 0.221996463107198 0.219500158364208 0.237972903539847 0.198807157057654 0.367149758454106 0.122767992804094 0.131613951078814 0.126452569385397
"did" 0.106010813102937 0.113587959676274 0.193599308999389 0 0.267748478701826 0.248335026526696 0.159100785928419 0.200113577976689 0.0908832717977847 0.115942028985507 0.209070245171328 0.140714915781073 0.191859070791637
"which" 0.0742075691720556 0.0354962373988357 0.144454869022621 0 0.0567951318458418 0.075253038341423 0.235704868042103 0.281916763568512 0.0511218403862539 0.0193236714975845 0.188406325590441 0.0952100922697806 0.165696470229141
"good" 0.137814057033817 0.09938946471674 0.0699935963305485 0 0.121703853955375 0.0903036460097076 0.242334067455787 0.196733281051408 0.0852030673104232 0.115942028985507 0.12641456684778 0.226824043348595 0.137353652953104
"very" 0.137814057033817 0.0851909697572057 0.141476418114938 0 0.0324543610547667 0.0338638672536404 0.211397803525261 0.248789853700749 0.0681624538483385 0.0386473429951691 0.175035554096926 0.133014099494546 0.194039287505178
"oh" 0.180218382274992 0.0212977424393014 0.0833966254151216 0.0273792574745373 0.0892494929006085 0.0714903864243519 0.148052120238946 0.121014629925093 0.124964498721954 0.0579710144927536 0.245535985608188 0.283530054185744 0.215841454640591
"don" 0.328633520619103 0.383359363907426 0.126584163576524 0.00547585149490746 0.129817444219067 0.142980772848704 0.184144428157893 0.162930311798588 0.107923885259869 0.154589371980676 0.143431912384981 0.217723078646336 0.0784878016874877
"how" 0.137814057033817 0.276870651710919 0.129562614484207 0 0.300202839756592 0.218233811190127 0.157627630503156 0.160226074258363 0.215847770519739 0.386473429951691 0.15315610983481 0.180619145629437 0.170056903656223
"re" 0.381638927170571 0.205878176913247 0.0744612726920729 0 0.00811359026369168 0.0301012153365692 0.219500158364208 0.177127558884772 0.238568588469185 0.193236714975845 0.0802246289610911 0.24712619537671 0.0850284518281117
"been" 0.212021626205873 0.29816839415022 0.23529762170695 0 0.178498985801217 0.1956578996877 0.109750079182104 0.148733064712404 0.187446748082931 0.173913043478261 0.251613609014331 0.147015583651867 0.139533869666645
"eyes" 0.159016219654405 0.170381939514411 0.414004676167925 0 0.202839756592292 0.1956578996877 0.097964835779999 0.0872116606722735 0.3692132916785 0.193236714975845 0.12641456684778 0.179218997213705 0.152615169947893
"something" 0.0530054065514683 0.0851909697572057 0.180196279914816 0 0.0486815415821501 0.16179403243406 0.274006909098944 0.212282646907704 0.113604089747231 0.0966183574879227 0.0972419744982922 0.102210834348441 0.0741273682604051
"will" 0.106010813102937 0.120687207156041 0.0297845090768291 0 0.154158215010142 0.180607292019415 0.256329043995787 0.214310825062874 0.0965634762851463 0.0579710144927536 0.161664782603411 0.0931098696461825 0.137353652953104
"too" 0.137814057033817 0.127786454635809 0.190620858091707 0 0.129817444219067 0.142980772848704 0.141422920825262 0.177127558884772 0.113604089747231 0.173913043478261 0.141000863022524 0.181319219837303 0.104650402249984
"ll" 0.127212975723524 0.127786454635809 0.0416983127075608 0 0 0.0714903864243519 0.264431398834734 0.208902349982422 0.153365521158762 0.0966183574879227 0.0948109251358349 0.156816622561992 0.0828482351145704
"see" 0.106010813102937 0.205878176913247 0.160836349014877 0 0.0730223123732252 0.120404861346277 0.169412873905261 0.233240487844452 0.170406134620846 0.154589371980676 0.148294011109896 0.0917097212304504 0.137353652953104
"yes" 0.106010813102937 0.04969473235837 0.0610582436074997 0 0.0649087221095335 0.0677277345072807 0.137740032262104 0.149409124097461 0.0738426583357001 0 0.213932343896243 0.198821075033954 0.167876686942682
"hand" 0.127212975723524 0.205878176913247 0.227851494437743 0 0.283975659229209 0.13169281709749 0.0729211935505256 0.0804510668217096 0.130644703209316 0.0579710144927536 0.145862961747438 0.233824785427255 0.0392439008437439
"down" 0.106010813102937 0.283969899190686 0.139987192661097 0 0.243407707910751 0.214471159273056 0.056716483872631 0.0770707698964277 0.278330019880716 0.231884057971014 0.0850867276860057 0.264628050573361 0.102470185536442
"off" 0.159016219654405 0.134885702115576 0.0848858508689631 0 0.105476673427992 0.22952176694134 0.14068634311263 0.154141539792855 0.1476853166714 0.154589371980676 0.0571296600177467 0.194620629786757 0.0566856345520745
"here" 0.11661189441323 0.191679681953713 0.0402090872537193 0 0.0730223123732252 0.0338638672536404 0.180461539594735 0.155493658562968 0.198807157057654 0.193236714975845 0.120336943441637 0.150515954691197 0.111191052390608
"much" 0.106010813102937 0.163282692034644 0.193599308999389 0 0.154158215010142 0.184369943936486 0.138476609974735 0.138592173936559 0.124964498721954 0.173913043478261 0.121552468122865 0.100810685932709 0.143894303093728
"didn" 0.137814057033817 0.19877892943348 0.329118825298962 0 0.0649087221095335 0.139218120931633 0.134057143698946 0.150761242867573 0.0795228628230616 0.154589371980676 0.083871203004777 0.102210834348441 0.0305230339895786
"even" 0.0530054065514683 0.0709924747976714 0.199556210814755 0 0.162271805273834 0.142980772848704 0.167203140767367 0.150085183482517 0.1476853166714 0.154589371980676 0.104535122585664 0.0868092017753882 0.104650402249984
"than" 0.0954097317926429 0.106488712196507 0.138497967207256 0 0.121703853955375 0.150506076682846 0.190773627571577 0.155493658562968 0.119284294234592 0.0772946859903382 0.133707714935152 0.0742078660337996 0.0981097521093597
"before" 0.0530054065514683 0.141984949595343 0.17423937809945 0 0.1947261663286 0.180607292019415 0.120062167158946 0.106141323453852 0.499857994887816 0.42512077294686 0.12641456684778 0.0980103891012447 0.0806680184010291
"going" 0.243824870136754 0.376260116427659 0.186153181730182 0 0.0811359026369168 0.0639650825902096 0.125218211147367 0.13453581762622 0.153365521158762 0.135265700483092 0.0571296600177467 0.158216770977724 0.0327032507031199
"over" 0.180218382274992 0.127786454635809 0.184663956276341 0 0.227180527383367 0.16179403243406 0.11269639003263 0.0946483139078937 0.272649815393354 0.154589371980676 0.0765780549174051 0.173618403550776 0.0545054178385332
"de" 0.0106010813102937 0 0 4.64899791917643 0 0 0.00147315542526314 0.00202817815516915 0 0 0.0158018208559725 0.0021002226235981 0.0719471515468638
"some" 0.106010813102937 0.0922902172369729 0.0893535272304874 0 0.178498985801217 0.142980772848704 0.16867629619263 0.148733064712404 0.232888383981823 0.135265700483092 0.087517777048463 0.0903095728147184 0.122092135958314
"bit" 0.0530054065514683 0.0354962373988357 0.104245781768902 0 0.227180527383367 0.176844640102344 0.14510580938842 0.146704886557235 0.0908832717977847 0.0772946859903382 0.0911643510921489 0.130913876870948 0.093749318682277
"ve" 0.0848086504823492 0.113587959676274 0.0416983127075608 0 0.0973630831643002 0.0413891710877827 0.110486656894736 0.0892398388274426 0.0795228628230616 0.0386473429951691 0.2078547204901 0.202321446073284 0.132993219526021
"lestrade" 0.0742075691720556 0.0425954848786029 0.0491444399767681 0 0 0 0.0132583988273683 0.0378593255631575 0 0 0.0802246289610911 0.483751277635429 0.0261626005624959
"little" 0.498250821583802 0.14908419707511 0.311248119852865 0 0.0892494929006085 0.0940662979267788 0.161310519066314 0.129803401930826 0.0397614314115308 0.231884057971014 0.0546986106552894 0.0567060108371487 0.0392439008437439
"think" 0.254425951447048 0.212977424393014 0.141476418114938 0 0.0811359026369168 0.0827783421755653 0.116379278595788 0.154141539792855 0.136324907696677 0.0772946859903382 0.087517777048463 0.0987104633091108 0.0915691019687357
"head" 0.190819463585286 0.134885702115576 0.0804181745074387 0 0.113590263691684 0.0639650825902096 0.0655554164242098 0.0960004326780064 0.204487361545016 0.270531400966184 0.0911643510921489 0.214922781814872 0.122092135958314
"because" 0.106010813102937 0.156183444554877 0.116159585399634 0 0.0405679513184584 0.0564397787560673 0.184144428157893 0.217691121988155 0.0397614314115308 0.0772946859903382 0.0413278391617742 0.0469049719270243 0.0414241175572852
